ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0019814	immunoglobulin complex	157	-0.798696329390313	-3.17861288141242	1e-10	3.76857142857143e-08	3.30375939849624e-08	9834	tags=87%, list=17%, signal=73%	ENSG00000211950/ENSG00000203896/ENSG00000241294/ENSG00000240671/ENSG00000242766/ENSG00000211937/ENSG00000211657/ENSG00000128322/ENSG00000211942/ENSG00000211968/ENSG00000240864/ENSG00000211973/ENSG00000250036/ENSG00000276775/ENSG00000211599/ENSG00000225698/ENSG00000225523/ENSG00000211659/ENSG00000223648/ENSG00000211641/ENSG00000242534/ENSG00000241566/ENSG00000211623/ENSG00000244116/ENSG00000211649/ENSG00000211672/ENSG00000211952/ENSG00000273962/ENSG00000243290/ENSG00000211935/ENSG00000211669/ENSG00000278857/ENSG00000243264/ENSG00000007312/ENSG00000211976/ENSG00000211972/ENSG00000224373/ENSG00000251546/ENSG00000232216/ENSG00000242371/ENSG00000239975/ENSG00000211652/ENSG00000211642/ENSG00000211651/ENSG00000211893/ENSG00000211896/ENSG00000254167/ENSG00000239862/ENSG00000236170/ENSG00000211667/ENSG00000223350/ENSG00000222037/ENSG00000211668/ENSG00000211644/ENSG00000211946/ENSG00000211967/ENSG00000211592/ENSG00000211956/ENSG00000239855/ENSG00000211640/ENSG00000211655/ENSG00000211959/ENSG00000244437/ENSG00000211944/ENSG00000211665/ENSG00000211951/ENSG00000211626/ENSG00000211625/ENSG00000211666/ENSG00000224650/ENSG00000211638/ENSG00000211677/ENSG00000224041/ENSG00000211653/ENSG00000211679/ENSG00000105369/ENSG00000211597/ENSG00000211964/ENSG00000211974/ENSG00000211662/ENSG00000211970/ENSG00000211965/ENSG00000243063/ENSG00000211663/ENSG00000211598/ENSG00000211947/ENSG00000239951/ENSG00000253497/ENSG00000211645/ENSG00000228325/ENSG00000274576/ENSG00000211670/ENSG00000211938/ENSG00000211941/ENSG00000278196/ENSG00000276566/ENSG00000211675/ENSG00000254709/ENSG00000239819/ENSG00000211897/ENSG00000211611/ENSG00000211958/ENSG00000211890/ENSG00000270550/ENSG00000211664/ENSG00000211949/ENSG00000211661/ENSG00000239571/ENSG00000211632/ENSG00000211637/ENSG00000243238/ENSG00000211648/ENSG00000211654/ENSG00000244575/ENSG00000211966/ENSG00000243466/ENSG00000211943/ENSG00000211955/ENSG00000211933/ENSG00000240382/ENSG00000211633/ENSG00000211905/ENSG00000241755/ENSG00000211957/ENSG00000282639/ENSG00000211945/ENSG00000211660/ENSG00000281990/ENSG00000211979/ENSG00000211961/ENSG00000211647/ENSG00000211650/ENSG00000132465/ENSG00000211899/ENSG00000211895/ENSG00000211898/ENSG00000162896
BP	GO:0007586	digestion	144	-0.719033243571073	-2.82275209935931	1e-10	3.76857142857143e-08	3.30375939849624e-08	3068	tags=42%, list=5%, signal=40%	ENSG00000168539/ENSG00000196136/ENSG00000110148/ENSG00000180251/ENSG00000104783/ENSG00000167780/ENSG00000108187/ENSG00000187258/ENSG00000145113/ENSG00000100170/ENSG00000109265/ENSG00000126562/ENSG00000164270/ENSG00000089472/ENSG00000106404/ENSG00000182156/ENSG00000150594/ENSG00000112115/ENSG00000134216/ENSG00000166391/ENSG00000010438/ENSG00000120756/ENSG00000053918/ENSG00000004848/ENSG00000187094/ENSG00000138075/ENSG00000160180/ENSG00000161798/ENSG00000127831/ENSG00000162992/ENSG00000138207/ENSG00000229859/ENSG00000229183/ENSG00000143921/ENSG00000256713/ENSG00000135773/ENSG00000140297/ENSG00000015520/ENSG00000118137/ENSG00000178473/ENSG00000101842/ENSG00000157005/ENSG00000204983/ENSG00000165828/ENSG00000158874/ENSG00000266200/ENSG00000169605/ENSG00000275896/ENSG00000165376/ENSG00000184956/ENSG00000145384/ENSG00000198788/ENSG00000164266/ENSG00000160182/ENSG00000160181/ENSG00000173702/ENSG00000163586/ENSG00000110244/ENSG00000096088/ENSG00000090402
BP	GO:0022600	digestive system process	112	-0.697635556305128	-2.72439558214692	1e-10	3.76857142857143e-08	3.30375939849624e-08	3391	tags=40%, list=6%, signal=38%	ENSG00000147571/ENSG00000168539/ENSG00000196136/ENSG00000110148/ENSG00000180251/ENSG00000104783/ENSG00000167780/ENSG00000108187/ENSG00000187258/ENSG00000145113/ENSG00000100170/ENSG00000109265/ENSG00000126562/ENSG00000164270/ENSG00000089472/ENSG00000106404/ENSG00000182156/ENSG00000150594/ENSG00000112115/ENSG00000166391/ENSG00000120756/ENSG00000053918/ENSG00000138075/ENSG00000160180/ENSG00000161798/ENSG00000127831/ENSG00000162992/ENSG00000138207/ENSG00000143921/ENSG00000140297/ENSG00000015520/ENSG00000118137/ENSG00000101842/ENSG00000165828/ENSG00000158874/ENSG00000165376/ENSG00000184956/ENSG00000145384/ENSG00000198788/ENSG00000164266/ENSG00000160182/ENSG00000160181/ENSG00000173702/ENSG00000163586/ENSG00000110244
MF	GO:0003823	antigen binding	160	-0.680958660182233	-2.70830813842995	1e-10	3.76857142857143e-08	3.30375939849624e-08	10060	tags=64%, list=17%, signal=53%	ENSG00000211810/ENSG00000158473/ENSG00000104974/ENSG00000211950/ENSG00000231389/ENSG00000211803/ENSG00000274752/ENSG00000239998/ENSG00000122194/ENSG00000211937/ENSG00000204287/ENSG00000242574/ENSG00000128322/ENSG00000211942/ENSG00000211968/ENSG00000240864/ENSG00000211973/ENSG00000276775/ENSG00000211599/ENSG00000179344/ENSG00000204252/ENSG00000085265/ENSG00000225698/ENSG00000211659/ENSG00000223648/ENSG00000242534/ENSG00000117090/ENSG00000211952/ENSG00000211935/ENSG00000198502/ENSG00000196126/ENSG00000278857/ENSG00000211976/ENSG00000211972/ENSG00000224373/ENSG00000251546/ENSG00000232216/ENSG00000242371/ENSG00000239975/ENSG00000211652/ENSG00000211651/ENSG00000211893/ENSG00000211896/ENSG00000254167/ENSG00000222037/ENSG00000211668/ENSG00000211644/ENSG00000211946/ENSG00000211967/ENSG00000211592/ENSG00000211956/ENSG00000204257/ENSG00000211640/ENSG00000211959/ENSG00000244437/ENSG00000211944/ENSG00000211951/ENSG00000211666/ENSG00000224650/ENSG00000211677/ENSG00000211653/ENSG00000211679/ENSG00000211964/ENSG00000211974/ENSG00000211662/ENSG00000211970/ENSG00000211965/ENSG00000211663/ENSG00000211598/ENSG00000211947/ENSG00000239951/ENSG00000274576/ENSG00000211938/ENSG00000211941/ENSG00000278196/ENSG00000211675/ENSG00000254709/ENSG00000211897/ENSG00000211958/ENSG00000211890/ENSG00000270550/ENSG00000211949/ENSG00000243238/ENSG00000211648/ENSG00000211966/ENSG00000243466/ENSG00000211943/ENSG00000211955/ENSG00000211933/ENSG00000240382/ENSG00000211957/ENSG00000282639/ENSG00000211945/ENSG00000211660/ENSG00000281990/ENSG00000211979/ENSG00000211961/ENSG00000132465/ENSG00000211899/ENSG00000211895/ENSG00000021488/ENSG00000211898/ENSG00000169347
CC	GO:0005903	brush border	109	-0.695192561920476	-2.69524199846226	1e-10	3.76857142857143e-08	3.30375939849624e-08	5409	tags=33%, list=9%, signal=30%	ENSG00000225697/ENSG00000081479/ENSG00000138079/ENSG00000118777/ENSG00000105357/ENSG00000006747/ENSG00000151491/ENSG00000154646/ENSG00000066230/ENSG00000157765/ENSG00000159640/ENSG00000167780/ENSG00000110195/ENSG00000100170/ENSG00000130234/ENSG00000120756/ENSG00000174827/ENSG00000021488/ENSG00000164363/ENSG00000127831/ENSG00000163581/ENSG00000172367/ENSG00000074276/ENSG00000138823/ENSG00000167434/ENSG00000137860/ENSG00000169994/ENSG00000006611/ENSG00000099834/ENSG00000175311/ENSG00000179914/ENSG00000166866/ENSG00000091138/ENSG00000146039/ENSG00000174358/ENSG00000090402
CC	GO:0031526	brush border membrane	60	-0.711995240221002	-2.51761662579311	1e-10	3.76857142857143e-08	3.30375939849624e-08	7140	tags=45%, list=12%, signal=40%	ENSG00000166126/ENSG00000076351/ENSG00000124564/ENSG00000119121/ENSG00000103375/ENSG00000225697/ENSG00000081479/ENSG00000138079/ENSG00000118777/ENSG00000066230/ENSG00000157765/ENSG00000159640/ENSG00000110195/ENSG00000100170/ENSG00000130234/ENSG00000174827/ENSG00000021488/ENSG00000164363/ENSG00000074276/ENSG00000138823/ENSG00000167434/ENSG00000137860/ENSG00000099834/ENSG00000179914/ENSG00000091138/ENSG00000146039/ENSG00000174358
BP	GO:0006641	triglyceride metabolic process	110	-0.649532331367112	-2.50178571782941	1e-10	3.76857142857143e-08	3.30375939849624e-08	5361	tags=32%, list=9%, signal=29%	ENSG00000074416/ENSG00000168477/ENSG00000177666/ENSG00000185000/ENSG00000169692/ENSG00000105851/ENSG00000214456/ENSG00000062282/ENSG00000125730/ENSG00000186281/ENSG00000198814/ENSG00000101670/ENSG00000187021/ENSG00000124003/ENSG00000101577/ENSG00000187546/ENSG00000176485/ENSG00000110243/ENSG00000130988/ENSG00000166391/ENSG00000166035/ENSG00000021826/ENSG00000091583/ENSG00000124253/ENSG00000138823/ENSG00000158874/ENSG00000266200/ENSG00000111701/ENSG00000187288/ENSG00000110245/ENSG00000084674/ENSG00000106384/ENSG00000283926/ENSG00000182333/ENSG00000110244
CC	GO:0072562	blood microparticle	145	-0.629080311874499	-2.46044644700421	1e-10	3.76857142857143e-08	3.30375939849624e-08	7064	tags=43%, list=12%, signal=38%	ENSG00000175899/ENSG00000211659/ENSG00000242534/ENSG00000206172/ENSG00000188536/ENSG00000261701/ENSG00000278857/ENSG00000166743/ENSG00000244734/ENSG00000242371/ENSG00000239975/ENSG00000211893/ENSG00000211896/ENSG00000055955/ENSG00000211592/ENSG00000244437/ENSG00000125730/ENSG00000211677/ENSG00000211679/ENSG00000211662/ENSG00000211598/ENSG00000239951/ENSG00000132703/ENSG00000176919/ENSG00000211938/ENSG00000211675/ENSG00000223609/ENSG00000211897/ENSG00000211890/ENSG00000196136/ENSG00000211949/ENSG00000145192/ENSG00000079557/ENSG00000243238/ENSG00000211648/ENSG00000243466/ENSG00000240382/ENSG00000113889/ENSG00000005421/ENSG00000132465/ENSG00000211899/ENSG00000211895/ENSG00000055957/ENSG00000243649/ENSG00000151655/ENSG00000180210/ENSG00000211898/ENSG00000171564/ENSG00000106927/ENSG00000163631/ENSG00000171557/ENSG00000157131/ENSG00000135744/ENSG00000109072/ENSG00000118137/ENSG00000171560/ENSG00000204983/ENSG00000158874/ENSG00000229314/ENSG00000228278/ENSG00000123838/ENSG00000145321/ENSG00000110244
BP	GO:0019731	antibacterial humoral response	79	-0.658979853465938	-2.44738483776139	1e-10	3.76857142857143e-08	3.30375939849624e-08	6134	tags=43%, list=10%, signal=39%	ENSG00000012223/ENSG00000198183/ENSG00000239839/ENSG00000180083/ENSG00000240247/ENSG00000211893/ENSG00000211896/ENSG00000206047/ENSG00000168634/ENSG00000170890/ENSG00000239951/ENSG00000101443/ENSG00000182931/ENSG00000180305/ENSG00000211897/ENSG00000211890/ENSG00000137673/ENSG00000214274/ENSG00000258818/ENSG00000132465/ENSG00000142515/ENSG00000211899/ENSG00000211895/ENSG00000124157/ENSG00000110680/ENSG00000211898/ENSG00000171564/ENSG00000171560/ENSG00000124233/ENSG00000187908/ENSG00000164816/ENSG00000164822/ENSG00000171747/ENSG00000096088
BP	GO:0002793	positive regulation of peptide secretion	115	-0.600605896515758	-2.39901415356783	1e-10	3.76857142857143e-08	3.30375939849624e-08	4556	tags=35%, list=8%, signal=32%	ENSG00000196126/ENSG00000170893/ENSG00000096968/ENSG00000010310/ENSG00000149295/ENSG00000136573/ENSG00000148737/ENSG00000154229/ENSG00000181031/ENSG00000157017/ENSG00000123836/ENSG00000156026/ENSG00000254647/ENSG00000142330/ENSG00000147571/ENSG00000106327/ENSG00000036828/ENSG00000006071/ENSG00000147642/ENSG00000016082/ENSG00000170011/ENSG00000170498/ENSG00000115263/ENSG00000106128/ENSG00000180210/ENSG00000186188/ENSG00000138207/ENSG00000070985/ENSG00000171564/ENSG00000118702/ENSG00000171557/ENSG00000163581/ENSG00000185002/ENSG00000171560/ENSG00000178473/ENSG00000139515/ENSG00000012504/ENSG00000001626/ENSG00000164266/ENSG00000131910
