ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0008544	epidermis development	186/4017	395/18434	0.470886075949367	2.16089467862849	12.3110931450282	1.92695099292444e-29	1.1654199605207e-25	9.16620161792162e-26	HES5/GRHL3/SFN/GJB5/POU3F1/MYCL/TCHH/HRNR/FLG/FLG2/LCE5A/LCE3E/LCE3D/LCE3C/LCE3B/LCE3A/LCE2D/LCE2C/LCE2B/LCE2A/KPLCE/LCE1F/LCE1D/LCE1C/LCE1B/LCE1A/LCE6A/IVL/SPRR4/SPRR1A/SPRR1B/SPRR2D/SPRR2G/LORICRIN/S100A7/TMEM79/CRABP2/LAMC2/PKP1/IL20/LAMB3/IRF6/AKR1C3/CALML5/MACROH2A2/CDH23/LIPK/LIPN/COL17A1/KCNQ1/USH1C/LGR4/ALX4/PLAAT4/GAL/KRTAP5-9/PTHLH/WNT10B/KRT7/KRT81/KRT85/KRT84/KRT82/KRT75/KRT6B/KRT6C/KRT6A/KRT5/KRT71/KRT74/KRT72/KRT73/KRT2/KRT1/KRT77/KRT76/KRT3/KRT79/HOXC13/GLI1/LGR5/SLITRK6/DCT/SOX21/SLC39A2/BMP4/BCL11B/JAG2/TGM5/BNC1/CERS3/PLA2G10/CDH3/FA2H/ALOX12/ALOX15B/ALOX12B/ALOXE3/FOXN1/TMEM132E/KRT25/KRT27/KRT10/KRT34/KRT31/KRT32/KRT15/KRT9/KRT14/KRT16/KRT17/HOXB13/NGFR/DLX3/SOX9/ZNF750/GATA6/DSC1/ACER1/INSR/CASP14/KRTDAP/SULT2B1/NTF4/KLK5/KLK14/GRHL1/CYP26B1/REG3G/REG3A/FOXI3/IL1A/GLI2/KLF7/ABCA12/WNT10A/JAG1/MAFB/KRTAP6-2/COL7A1/WNT5A/ZBED2/CSTA/RBP2/PLS1/TP63/CLDN1/GRXCR1/EREG/ATOH1/PITX2/PALLD/FGF10/FST/MINAR2/GRXCR2/MSX2/FOXQ1/DSP/CDSN/TNF/SLC44A4/IL17A/CD109/MYO6/POU3F2/SOSTDC1/GSDME/HOXA7/INHBA/EGFR/CLDN4/SMO/SHH/FGF20/FGFR1/FABP5/FZD6/AQP3/TMC1/ANXA1/FOXE1/LHX2/AGPAT2/TPRN/STS	186
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	101/4017	168/18434	0.601190476190476	2.75886114963785	12.0885983607159	4.78925653521017e-27	1.44827117624756e-23	1.13908685697972e-23	CLSTN1/CELSR2/IGSF9/NECTIN4/CNTN2/PCDH15/MYPN/CDH23/CDHR1/CDHR5/FAT3/DSCAML1/MPZL2/NECTIN1/ESAM/KIRREL3/PCDH8/PCDH9/CDH8/CDH5/CDH3/CDH13/PECAM1/SDK2/CDH2/DSC3/DSC2/DSC1/DSG1/DSG3/CDH20/CEACAM5/CEACAM6/CEACAM1/CADM4/NECTIN2/PTPRT/CDH22/CDH26/CDH4/DSCAM/CELSR1/CNTN4/CELSR3/NECTIN3/IGSF11/PCDH10/PALLD/TENM3/CDH12/MYOT/PCDHAC2/PCDHA6/PCDHA7/PCDHA5/PCDHA11/PCDHA3/PCDHA12/PCDHA13/PCDHAC1/PCDHA2/PCDHA4/PCDHA8/PCDHA9/PCDHA10/PCDHA1/PCDHB1/PCDHGA4/PCDHGA6/PCDHGA2/PCDHGA7/PCDHGA9/PCDHGB2/PCDHGA12/PCDHGA11/PCDHGB5/PCDHGB6/PCDHGA5/PCDHGB3/PCDHGA3/PCDHGA10/PCDHGB1/PCDHGB7/PCDHGB4/PCDHGC4/PCDHGA8/PCDHGC5/PCDHGC3/PCDHGA1/PCDH1/PCDH12/FAT2/CDHR2/PTK7/SDK1/CDH17/TRO/PCDH11X/PCDH19/PLXNB3/PCDH11Y	101
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	140/4017	279/18434	0.50179211469534	2.30272239041422	11.5735696823776	7.68980951696555e-26	1.55026559862026e-22	1.21930698972517e-22	CLSTN1/NTNG1/CELSR2/IGSF9/NECTIN4/SELL/CRB1/CNTN2/PCDH15/MYPN/CDH23/CDHR1/CDHR5/TENM4/FAT3/APOA1/DSCAML1/MPZL2/NECTIN1/ESAM/KIRREL3/PCDH8/PCDH9/SLITRK5/AJUBA/CLDN9/CLDN6/CDH8/CDH5/CDH3/CDH13/CLDN7/PECAM1/SDK2/CDH2/DSC3/DSC2/DSC1/DSG1/DSG3/CDH20/PTPRS/LGALS7B/CEACAM5/CEACAM6/CEACAM1/PSG5/CADM4/NECTIN2/NRXN1/REG3A/PTPRT/CDH22/CDH26/CDH4/GATA5/CLDN8/CLDN14/DSCAM/ELFN2/CELSR1/CNTN4/CELSR3/ALCAM/NECTIN3/IGSF11/CLDN18/SLITRK3/NLGN1/ADIPOQ/CLDN1/CLDN16/IL1RAP/FGFRL1/PCDH10/PALLD/TENM3/CDH12/MYOT/PCDHAC2/PCDHA6/PCDHA7/PCDHA5/PCDHA11/PCDHA3/PCDHA12/PCDHA13/PCDHAC1/PCDHA2/PCDHA4/PCDHA8/PCDHA9/PCDHA10/PCDHA1/PCDHB1/PCDHGA4/PCDHGA6/PCDHGA2/PCDHGA7/PCDHGA9/PCDHGB2/PCDHGA12/PCDHGA11/PCDHGB5/PCDHGB6/PCDHGA5/PCDHGB3/PCDHGA3/PCDHGA10/PCDHGB1/PCDHGB7/PCDHGB4/PCDHGC4/PCDHGA8/PCDHGC5/PCDHGC3/PCDHGA1/PCDH1/PCDH12/FAT2/CDHR2/MDGA1/PTK7/CLDN20/ELFN1/SDK1/CLDN3/CLDN4/CLDN15/LRRC4/CLDN23/CDH17/PTPRD/TRO/PCDH11X/PCDH19/CLDN2/SLITRK2/PLXNB3/PCDH11Y	140
GO:0031424	keratinization	60/4017	83/18434	0.72289156626506	3.31734705813545	11.1689343360129	1.07839777825883e-22	1.63053744072735e-19	1.28244198946096e-19	SFN/TCHH/HRNR/LCE5A/LCE3E/LCE3D/LCE3C/LCE3B/LCE3A/LCE2D/LCE2C/LCE2B/LCE2A/LCE1F/LCE1D/LCE1C/LCE1B/LCE1A/LCE6A/IVL/SPRR4/SPRR1A/SPRR1B/SPRR2D/SPRR2G/LORICRIN/TMEM79/LIPK/LIPN/KRT7/KRT81/KRT85/KRT84/KRT82/KRT75/KRT6B/KRT6C/KRT6A/KRT5/KRT71/KRT74/KRT72/KRT73/KRT2/KRT1/KRT77/KRT76/KRT3/KRT79/CERS3/CDH3/KRT16/KRT17/CASP14/KLK5/CYP26B1/IL1A/ABCA12/KRTAP6-2/CDSN	60
GO:0009913	epidermal cell differentiation	124/4017	251/18434	0.49402390438247	2.26707409842829	10.6688493501573	2.82066611961994e-22	3.41187773829227e-19	2.68349267253947e-19	HES5/SFN/POU3F1/MYCL/TCHH/HRNR/FLG/LCE5A/LCE3E/LCE3D/LCE3C/LCE3B/LCE3A/LCE2D/LCE2C/LCE2B/LCE2A/LCE1F/LCE1D/LCE1C/LCE1B/LCE1A/LCE6A/IVL/SPRR4/SPRR1A/SPRR1B/SPRR2D/SPRR2G/LORICRIN/S100A7/TMEM79/PKP1/IL20/IRF6/AKR1C3/MACROH2A2/CDH23/LIPK/LIPN/KCNQ1/USH1C/PLAAT4/KRT7/KRT81/KRT85/KRT84/KRT82/KRT75/KRT6B/KRT6C/KRT6A/KRT5/KRT71/KRT74/KRT72/KRT73/KRT2/KRT1/KRT77/KRT76/KRT3/KRT79/GLI1/SLITRK6/SLC39A2/BMP4/BCL11B/JAG2/CERS3/CDH3/FA2H/ALOX15B/FOXN1/TMEM132E/KRT10/KRT14/KRT16/KRT17/DLX3/GATA6/ACER1/CASP14/SULT2B1/KLK5/GRHL1/CYP26B1/REG3G/REG3A/FOXI3/IL1A/GLI2/KLF7/ABCA12/JAG1/MAFB/KRTAP6-2/WNT5A/ZBED2/CSTA/PLS1/TP63/GRXCR1/EREG/ATOH1/PITX2/PALLD/MINAR2/GRXCR2/MSX2/DSP/CDSN/SLC44A4/IL17A/CD109/MYO6/GSDME/HOXA7/FGF20/FGFR1/AQP3/TMC1/ANXA1/TPRN	124
GO:0043588	skin development	148/4017	324/18434	0.45679012345679	2.09620839825802	10.5079472289837	4.83797758710149e-22	4.8766814077983e-19	3.83558258177397e-19	GRHL3/SFN/AHDC1/GJB3/POU3F1/TCHH/HRNR/FLG/FLG2/LCE5A/LCE3E/LCE3D/LCE3C/LCE3B/LCE3A/LCE2D/LCE2C/LCE2B/LCE2A/LCE1F/LCE1D/LCE1C/LCE1B/LCE1A/LCE6A/IVL/SPRR4/SPRR1A/SPRR1B/SPRR2D/SPRR2G/LORICRIN/S100A7/TMEM79/PKP1/IL20/IRF6/AKR1C3/MACROH2A2/LIPK/LIPN/LGR4/ALX4/PLAAT4/GAL/WNT10B/KRT7/KRT81/KRT85/KRT84/KRT82/KRT75/KRT6B/KRT6C/KRT6A/KRT5/KRT71/KRT74/KRT72/KRT73/KRT2/KRT1/KRT77/KRT76/KRT3/KRT79/HOXC13/LGR5/ASCL4/ATP8A2/SLITRK5/SOX21/SLC39A2/BCL11B/CERS3/PLA2G10/CDH3/FA2H/ALOX12/ALOX15B/ALOX12B/ALOXE3/FOXN1/KRT25/KRT27/KRT10/KRT9/KRT14/KRT16/KRT17/NGFR/DLX3/COL1A1/SOX9/ZNF750/GATA6/DSC1/ACER1/COL5A3/CASP14/RYR1/KLK5/GRHL1/ASPRV1/CYP26B1/REG3G/REG3A/FOXI3/IL1A/GLI2/ABCA12/WNT10A/JAG1/MAFB/SLC2A10/KRTAP6-2/WNT5A/ZBED2/CSTA/TP63/CLDN1/EREG/PALLD/FGF10/FST/MSX2/FOXQ1/DSP/CDSN/TNF/TFAP2B/IL17A/CD109/DACT2/SOSTDC1/HOXA7/INHBA/EGFR/CLDN4/COL1A2/SMO/SHH/FZD6/AQP3/ANXA1/FOXE1/LHX2/COL5A1	148
GO:0007586	digestion	83/4017	144/18434	0.576388888888889	2.6450467457749	10.4607811158418	8.35343937206003e-21	7.21737161745986e-18	5.67657030411117e-18	CHIA/APOA2/CAPN9/AKR1C1/AKR1C2/UCN3/PBLD/RBP4/ADRA2A/PNLIP/PNLIPRP2/PRAP1/MUC6/MUC2/KCNQ1/CCKBR/PGA3/PGA4/PGA5/CHRM1/MOGAT2/APOA4/APOA1/AQP5/SOAT2/SERPINA3/GCNT3/NOD2/WNK4/SOX9/ENPP7/KCNN4/ABCG5/ABCG8/GKN1/FABP1/SLC9A4/STK39/NEUROD1/VIL1/NPPC/TFF3/TFF2/TFF1/SLC5A1/TYMP/GHRL/CCK/CYP8B1/UCN2/SLC26A6/MUC13/PLS1/SI/SST/MUC4/CRACD/STATH/FABP2/FGF10/NEUROG1/SPINK1/HTR4/CLPSL2/CLPSL1/PGC/IL17A/SGK1/NPSR1/NPC1L1/CD36/CLDN15/LEP/PRSS1/PRSS2/OPRK1/PRSS3/PIR/ARX/WNK3/HEPH/CLDN2/VSIG1	83
GO:0030216	keratinocyte differentiation	94/4017	177/18434	0.531073446327684	2.43709432651345	10.1407173625108	5.72197869604219e-20	4.32581589420789e-17	3.40231864834403e-17	SFN/POU3F1/TCHH/HRNR/FLG/LCE5A/LCE3E/LCE3D/LCE3C/LCE3B/LCE3A/LCE2D/LCE2C/LCE2B/LCE2A/LCE1F/LCE1D/LCE1C/LCE1B/LCE1A/LCE6A/IVL/SPRR4/SPRR1A/SPRR1B/SPRR2D/SPRR2G/LORICRIN/S100A7/TMEM79/PKP1/IL20/IRF6/AKR1C3/MACROH2A2/LIPK/LIPN/PLAAT4/KRT7/KRT81/KRT85/KRT84/KRT82/KRT75/KRT6B/KRT6C/KRT6A/KRT5/KRT71/KRT74/KRT72/KRT73/KRT2/KRT1/KRT77/KRT76/KRT3/KRT79/SLC39A2/BCL11B/CERS3/CDH3/ALOX15B/FOXN1/KRT10/KRT14/KRT16/KRT17/ACER1/CASP14/KLK5/GRHL1/CYP26B1/REG3G/REG3A/IL1A/ABCA12/JAG1/MAFB/KRTAP6-2/WNT5A/ZBED2/CSTA/TP63/EREG/PALLD/MSX2/DSP/CDSN/IL17A/CD109/HOXA7/AQP3/ANXA1	94
GO:0045109	intermediate filament organization	53/4017	75/18434	0.706666666666667	3.24289104638619	10.2736738922094	1.79313801604078e-19	1.2049887467794e-16	9.47741601694535e-17	TCHH/PKP1/INA/PKP2/PRPH/KRT7/KRT81/KRT85/KRT84/KRT82/KRT75/KRT6B/KRT6C/KRT6A/KRT5/KRT71/KRT74/KRT72/KRT73/KRT2/KRT1/KRT77/KRT76/KRT3/KRT79/KRT25/KRT27/KRT10/KRT12/KRT20/KRT23/KRT39/KRT40/KRT33A/KRT33B/KRT34/KRT31/KRT37/KRT38/KRT32/KRT35/KRT15/KRT19/KRT9/KRT14/KRT16/KRT17/DES/BFSP1/DSP/SHH/NEFM/NEFL	53
GO:0045104	intermediate filament cytoskeleton organization	58/4017	96/18434	0.604166666666667	2.7725188781014	9.19098335964605	2.89421303747666e-16	1.75042004506588e-13	1.37673144382706e-13	TCHH/PKP1/INA/PKP2/PRPH/KRT7/KRT81/KRT85/KRT84/KRT82/KRT75/KRT6B/KRT6C/KRT6A/KRT5/KRT71/KRT74/KRT72/KRT73/KRT2/KRT1/KRT77/KRT76/KRT3/KRT79/KRT18/ATP8A2/SYNM/EVPLL/KRT25/KRT27/KRT10/KRT12/KRT20/KRT23/KRT39/KRT40/KRT33A/KRT33B/KRT34/KRT31/KRT37/KRT38/KRT32/KRT35/KRT15/KRT19/KRT9/KRT14/KRT16/KRT17/DES/BFSP1/DSP/DST/SHH/NEFM/NEFL	58
