"geneID","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","Count","SYMBOL"
"10253/652/6495/51804/6928/6662/7040/3239/7474/10252/2255/2246/2099/6469/3371","GO:0060602","branch elongation of an epithelium","15/4017","20/18434",0.75,3.44174757281553,5.76704275699499,5.78454215191699e-07,2.89131495328875e-05,2.27406228660399e-05,15,NA
"10630/2048/5051/3932/10451/2153/725/89780/653145/5328/9060/150/3043/7166/79056/2147/5795/928/3848/4778/25946/1606/7103/3356/2155/2159/8858/51156/5265/64714/170692/5023/239/7448/6532/350/5578/8529/57834/9002/634/5624/2191/4780/7035/5270/8527/3170/7056/10398/3172/81027/2812/3053/2815/5028/5912/1608/3273/3827/5196/23657/2244/2243/2266/3818/2160/80739/22875/1607/3315/948/7980/5054/5294/857/9162/4846/6469/4067/8323/5638/959/79057/2316","GO:0007599","hemostasis","85/4017","248/18434",0.342741935483871,1.57284163273828,4.79405816751446,3.69877941541613e-06,0.000130059406421144,0.000102293660821698,85,NA
"10630/2048/5051/3932/10451/2153/725/89780/653145/5328/9060/150/3043/79056/2147/5795/928/3848/1606/7103/3356/2155/2159/8858/51156/5265/64714/170692/5023/239/7448/6532/350/5578/8529/57834/9002/634/5624/2191/4780/7035/5270/8527/3170/7056/10398/3172/6406/6407/81027/2812/3053/2815/5028/5912/1608/3273/3827/5196/23657/2244/2243/2266/3818/2160/80739/22875/1607/3315/948/7980/5054/5294/857/9162/4846/6469/4067/8323/5638/959/79057/2316","GO:0050817","coagulation","84/4017","246/18434",0.341463414634146,1.5669745046965,4.72552526275725,4.96417649567559e-06,0.00016587480356821,0.000130463004268438,84,NA
"10630/2048/5051/3932/10451/2153/725/89780/653145/5328/9060/150/3043/79056/2147/5795/928/3848/1606/7103/3356/2155/2159/8858/51156/5265/64714/170692/5023/239/7448/6532/350/5578/8529/57834/9002/634/5624/2191/4780/7035/5270/8527/3170/7056/10398/3172/81027/2812/3053/2815/5028/5912/1608/3273/3827/5196/23657/2244/2243/2266/3818/2160/80739/22875/1607/3315/948/7980/5054/5294/857/9162/4846/6469/4067/8323/5638/959/79057/2316","GO:0007596","blood coagulation","82/4017","241/18434",0.340248962655602,1.56140138849723,4.63064323288404,7.45479212976864e-06,0.000237297804214951,0.000186638258362462,82,NA
"10630/3932/10451/89780/150/3043/2147/5795/928/1606/3356/64714/170692/5023/239/6532/5578/9002/634/5270/8527/7056/10398/81027/2812/2815/5028/5912/1608/3273/5196/23657/2244/2243/2266/1607/3315/5294/9162/4846/4067/8323/959/2316","GO:0030168","platelet activation","44/4017","140/18434",0.314285714285714,1.44225612575127,2.77264977662761,0.00501800874406336,0.0392104869303556,0.0308396321425572,44,NA
"10630/54361/6275/64218/4139/183/25805/5076/57715/6934/406919/9965/2348/442900/4684/8092/6910/1910/10253/652/6495/7043/145258/442909/80031/8854/30812/2303/1277/55273/9241/8313/6662/79755/1000/25800/6317/116844/100507588/3249/7040/10736/2487/8828/2335/80326/2043/2637/406941/182/3170/655/1908/140628/7074/6899/6663/7869/7474/90102/8929/51176/5308/10252/6423/9464/202151/2668/2255/3670/7478/4488/7148/9444/55698/7291/57057/3082/223117/6608/6469/3084/2260/6422/6591/23462/3037/10439/265/2316","GO:0048762","mesenchymal cell differentiation","90/4017","275/18434",0.327272727272727,1.50185348631951,4.42597346902091,1.59532035638834e-05,0.00041768387512713,0.000328514590590974,90,NA
"10630/54361/6275/64218/4139/89780/183/25805/5076/57715/6934/187/406919/9965/2348/442900/4684/144165/94/2065/8092/6910/1910/10253/652/6495/51804/7043/145258/442909/80031/8854/30812/2303/1277/55273/9241/8313/6662/79755/1000/25800/6317/268/116844/100507588/3249/10683/7040/10736/72/2487/8828/2335/80326/2043/2637/406941/6939/182/3170/655/1908/140628/7074/6899/6663/7869/7474/55211/90102/8929/51176/5308/10252/6423/9464/10409/202151/2668/2255/3670/7478/1482/4488/7148/5754/9444/55698/7291/57057/3082/223117/6608/4846/6469/2626/3084/2260/6422/6591/23462/3037/10439/265/7547/2316","GO:0060485","mesenchyme development","107/4017","342/18434",0.312865497076023,1.43573875357217,4.29346007214076,2.43973918582031e-05,0.000587293370229983,0.000461914985392177,107,NA
"10637/7044/56165/144165/1045/652/5015/4091/5046/3975/8313/2528/10736/25806/3234/7855/7475/3170/7476/6997/7474/80319/5308/50805/10409/2255/4762/7478/1044/134701/6862/23242/6608/6469/6422/1046/92129/7547","GO:0009798","axis specification","38/4017","99/18434",0.383838383838384,1.76143310123893,4.00977839033354,0.000128806076043271,0.00220685311022579,0.00173572284967807,38,NA
"10637/7044/56165/144165/1045/652/5015/5046/3975/10736/3234/7855/3170/6997/7474/10409/4762/7478/1044/134701/6862/6469/1046/92129/7547","GO:0009948","anterior/posterior axis specification","25/4017","59/18434",0.423728813559322,1.94449015413307,3.83549344705241,0.000307363377554517,0.00451197501808184,0.00354873557273598,25,NA
"1117/27159/5016/1116/9469/8534/10164/23563/4248/9435/10020/56548","GO:1901071","glucosamine-containing compound metabolic process","12/4017","25/18434",0.48,2.20271844660194,3.17636466137769,0.00330376909146429,0.0281724644141191,0.0221580629851372,12,NA
