ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-6809371	Formation of the cornified envelope	91/2443	128/11180	0.7109375	3.25349212034384	13.5588430701976	6.978127660465e-33	9.9298756608417e-30	8.8365132374099e-30	TCHH/RPTN/FLG/LCE5A/LCE3E/LCE3D/LCE3C/LCE3B/LCE3A/LCE2D/LCE2C/LCE2B/LCE2A/LCE1F/LCE1D/LCE1C/LCE1B/LCE1A/LCE6A/IVL/SPRR1A/SPRR1B/SPRR2D/SPRR2G/LELP1/LORICRIN/PKP1/LIPJ/LIPK/LIPN/PKP2/KRT7/KRT81/KRT85/KRT84/KRT82/KRT75/KRT6B/KRT6C/KRT6A/KRT5/KRT71/KRT74/KRT72/KRT73/KRT2/KRT1/KRT77/KRT76/KRT3/KRT79/KRT8/KRT18/TGM5/PCSK6/PRSS8/KRT25/KRT27/KRT10/KRT12/KRT20/KRT23/KRT39/KRT40/KRT33A/KRT33B/KRT31/KRT37/KRT38/KRT32/KRT35/KRT15/KRT19/KRT9/KRT14/KRT16/KRT17/DSC3/DSC2/DSC1/DSG1/DSG3/CASP14/KLK5/KLK8/KLK14/CSTA/SPINK6/DSP/CDSN/PERP	91
R-HSA-9734767	Developmental Cell Lineages	75/2443	120/11180	0.625	2.86021285304953	10.8332245195611	6.33871139123664e-22	4.50999315486487e-19	4.01340515981983e-19	CELA3B/GJB3/COL24A1/COL11A1/FLG/IVL/LORICRIN/LAMC2/LAMB3/CALML5/HHEX/PNLIP/PNLIPRP2/COL2A1/KRT7/KRT5/KRT1/PLA2G1B/PDX1/RNASE1/SERPINA4/ONECUT1/CSPG4/PDIA2/GP2/VTN/HNF1B/KRT10/KRT23/KRT15/KRT19/KRT14/KRT17/COL1A1/SOX9/LAMA1/GATA6/COL5A3/CASP14/KRTDAP/DMKN/SBSN/LGALS7/LGALS7B/KLK1/KLK5/REG1A/FN1/FOXA2/CPB1/TP63/PROM1/SLC4A4/ANXA3/NKX6-1/ABCG2/FGF10/SPINK1/COL11A2/TFPI2/COL1A2/BHLHA15/CFTR/CPA2/CPA1/PRSS1/SHH/GATA4/FABP5/CA2/ERICH5/AQP3/PRSS3/ANXA1/COL5A1	75
R-HSA-6805567	Keratinization	107/2443	215/11180	0.497674418604651	2.27752762996316	10.0015487776414	8.69965610233695e-20	4.12653687787516e-17	3.67217062846012e-17	TCHH/RPTN/FLG/LCE5A/LCE3E/LCE3D/LCE3C/LCE3B/LCE3A/LCE2D/LCE2C/LCE2B/LCE2A/LCE1F/LCE1D/LCE1C/LCE1B/LCE1A/LCE6A/IVL/SPRR1A/SPRR1B/SPRR2D/SPRR2G/LELP1/LORICRIN/PKP1/LIPJ/LIPK/LIPN/KRTAP5-1/KRTAP5-2/KRTAP5-4/KRTAP5-5/KRTAP5-9/PKP2/KRT7/KRT81/KRT85/KRT84/KRT82/KRT75/KRT6B/KRT6C/KRT6A/KRT5/KRT71/KRT74/KRT72/KRT73/KRT2/KRT1/KRT77/KRT76/KRT3/KRT79/KRT8/KRT18/TGM5/PCSK6/PRSS8/KRT25/KRT27/KRT10/KRT12/KRT20/KRT23/KRT39/KRT40/KRTAP3-3/KRTAP2-3/KRTAP9-7/KRTAP29-1/KRT33A/KRT33B/KRT31/KRT37/KRT38/KRT32/KRT35/KRT15/KRT19/KRT9/KRT14/KRT16/KRT17/DSC3/DSC2/DSC1/DSG1/DSG3/CASP14/KLK5/KLK8/KLK14/KRTAP13-2/KRTAP13-1/KRTAP19-1/KRTAP19-5/KRTAP6-2/KRTAP21-2/KRTAP11-1/CSTA/SPINK6/DSP/CDSN/PERP	107
R-HSA-9820448	Developmental Cell Lineages of the Exocrine Pancreas	52/2443	83/11180	0.626506024096386	2.8671049322135	9.02790588753914	1.13567668494623e-15	3.99762437249189e-13	3.5574524689187e-13	CELA3B/COL24A1/COL11A1/LAMC2/LAMB3/HHEX/PNLIP/PNLIPRP2/COL2A1/KRT7/PLA2G1B/PDX1/RNASE1/SERPINA4/ONECUT1/PDIA2/GP2/VTN/HNF1B/KRT23/KRT19/KRT17/COL1A1/SOX9/LAMA1/GATA6/COL5A3/KLK1/REG1A/FN1/FOXA2/CPB1/PROM1/SLC4A4/ANXA3/NKX6-1/FGF10/SPINK1/COL11A2/TFPI2/COL1A2/BHLHA15/CFTR/CPA2/CPA1/PRSS1/SHH/GATA4/CA2/ERICH5/ANXA1/COL5A1	52
R-HSA-500792	GPCR ligand binding	176/2443	467/11180	0.376873661670236	1.72470222573608	8.45949672601747	1.4046466523162e-15	3.99762437249189e-13	3.5574524689187e-13	TAS1R2/WNT4/HTR1D/OPRD1/EDN2/LPAR3/PLPPR5/PROK1/WNT2B/RXFP4/XCL1/KISS1/CD55/WNT9A/WNT3A/AGT/UCN3/NPY4R/NPY4R2/TACR2/NPFFR1/HTR7/FFAR4/ADRA2A/ADRB1/PRLHR/CCKBR/ADM/CALCA/F2/APLNR/CHRM1/GAL/P2RY2/GRM5/DRD2/IAPP/PTHLH/WNT10B/TAC3/NTS/HCAR2/HCAR3/HCAR1/FZD10/RXFP2/HTR2A/LPAR6/MLNR/EDNRB/OXGR1/LTB4R2/LTB4R/SSTR1/PTGER2/GPHB5/GPR68/BDKRB1/NMB/SSTR5/CXCL16/ADORA2B/CCR7/HCRT/CRHR1/LINC02210-CRHR1/GALR2/GCGR/UTS2R/MC2R/GRP/MC4R/C3/ADGRE1/CCL25/S1PR5/ADGRE5/F2RL3/INSL3/FFAR3/GPR4/GIPR/FPR2/POMC/OXER1/LHCGR/FSHR/SCTR/GPR17/GPR39/GCG/FZD7/FZD5/PTH2R/GPBAR1/WNT6/WNT10A/IHH/CCL20/ACKR3/PRLH/RAMP1/GPR35/SSTR4/GHRH/EDN3/NTSR1/WNT7B/GHRL/WNT7A/CCK/CCR9/CCR2/CCRL2/UCN2/GRM2/WNT5A/PROK2/CASR/ACKR4/AGTR1/P2RY1/GNB4/ECE2/KNG1/SST/DRD5/GNRHR/NPFFR2/CXCL1/PF4/PPBP/CXCL5/CXCL3/CXCL2/CXCL10/QRFPR/RXFP1/MTNR1A/CCL28/WNT8A/HTR4/ADRB2/NMUR2/DRD1/GABBR1/MLN/GRM4/GLP1R/HCRTR2/HTR1B/CGA/TAAR5/TAAR1/GRM1/VIP/CCR6/GHRHR/NPSR1/FZD9/FZD1/GNGT1/GRM8/SMO/TAS2R38/SHH/PNOC/ADRB3/OPRK1/FZD6/CCL21/ANXA1/XK/CXCR3/APLN/OPN1MW3	176
R-HSA-913709	O-linked glycosylation of mucins	41/2443	64/11180	0.640625	2.93171817437577	8.19485979164489	4.09151976246384e-13	9.7037210366434e-11	8.63526013025262e-11	ST3GAL3/ST6GALNAC3/MUC1/MUC6/MUC2/MUC5AC/MUC5B/GALNT18/MUC15/B3GNT6/GALNT8/MUC19/MUCL1/GALNT4/POC1B-GALNT4/GALNT9/GCNT3/CHST4/ST6GALNAC2/B3GNT3/GALNT14/GALNT13/GALNT5/GALNT3/B3GNT7/MUC13/A4GNT/B3GNT5/ST6GAL1/MUC20/MUC4/MUC7/GALNTL6/GALNT7/C1GALT1/MUC3A/MUC12/MUC17/GALNTL5/GCNT1/GALNT12	41
R-HSA-211859	Biological oxidations	94/2443	220/11180	0.427272727272727	1.95534551408477	7.56743284665261	2.09132257403532e-12	4.25136003264609e-10	3.78324970911954e-10	AKR7L/AKR7A3/CYP2J2/GCLM/GSTM4/GSTM1/GSTM2/GSTM3/MTARC2/EPHX1/MAT1A/PAPSS2/CYP26A1/CYP2C18/CYP2C19/CYP2C9/CYP2E1/GLYATL2/GLYATL1/ACY3/NR1H4/CHAC1/CYP11A1/CYP1A1/ACSM1/SULT1A2/SULT1A4/SULT1A3/CES1/CES2/CES3/DPEP1/ALDH3A1/CYP4F22/CYP4F3/CYP4F12/CYP4F2/CYP4F11/CYP2A7/CYP2B6/SULT2A1/SULT2B1/POMC/CYP26B1/SULT1C2/SULT1C4/UGT1A4/UGT1A7/UGT1A1/UGT1A9/UGT1A6/UGT1A10/UGT1A8/ACSS2/CYP24A1/CBR3/GGT1/CYP8B1/ACY1/SLC26A1/UGT2B17/UGT2B15/UGT2B10/UGT2A3/UGT2B7/UGT2B11/UGT2B4/UGT2A2/UGT2A1/SULT1B1/ADH4/ADH6/ADH1B/ADH1C/ADH7/CYP4V2/CMBL/UGT3A1/UGT3A2/GSTA3/GSTA4/GCLC/CYP2W1/TPST1/CYP3A5/CYP3A7-CYP3A51P/CYP3A7/CYP3A4/TBXAS1/AOC1/NAT1/NAT2/ALDH1A1/SLC35D2	94
R-HSA-9749641	Aspirin ADME	30/2443	42/11180	0.714285714285714	3.26881468919946	7.78936594371692	8.79492661939831e-12	1.56439757242547e-09	1.39214430567581e-09	CYP2C19/CYP2C9/ABCC2/CYP2E1/GLYATL2/GLYATL1/SLCO2B1/CES1/CES2/ABCC3/UGT1A4/UGT1A7/UGT1A1/UGT1A9/UGT1A6/UGT1A8/BCHE/UGT2B17/UGT2B15/UGT2B10/UGT2A3/UGT2B7/UGT2B11/UGT2B4/UGT2A2/UGT2A1/ALB/UGT3A1/UGT3A2/CYP3A4	30
R-HSA-9925563	Developmental Lineage of Pancreatic Ductal Cells	32/2443	48/11180	0.666666666666667	3.0508937099195	7.52938001015649	3.26741602744676e-11	4.92974435738297e-09	4.38693824161831e-09	COL24A1/COL11A1/LAMC2/LAMB3/COL2A1/KRT7/PDX1/ONECUT1/VTN/HNF1B/KRT23/KRT19/KRT17/COL1A1/SOX9/LAMA1/COL5A3/FN1/FOXA2/PROM1/SLC4A4/ANXA3/NKX6-1/COL11A2/TFPI2/COL1A2/CFTR/GATA4/CA2/ERICH5/ANXA1/COL5A1	32
R-HSA-425407	SLC-mediated transmembrane transport	100/2443	249/11180	0.401606425702811	1.83788777705994	7.07029647418431	3.46433194475261e-11	4.92974435738297e-09	4.38693824161831e-09	SLC30A2/SLC2A1/SLC5A9/SLC1A7/SLC44A5/SLC44A3/SLC45A3/SLC26A9/SLC30A10/SLC18A2/SLC67A1/SLC6A5/SLC17A6/SLC43A1/SLC3A2/SLC22A11/SLC29A2/SLCO2B1/SLC6A12/SLCO1A2/SLC2A13/SLC38A2/SLC4A8/SLC39A5/SLC6A15/SLC5A8/SLC41A2/SLC39A2/SLC7A7/SLC7A8/SLC28A2/SLC12A1/SLC5A11/SLC6A2/SLC7A5/SLC13A5/SLC2A4/SLC47A1/SLC47A2/SLC13A2/SLC39A6/SLC14A2/SLC1A6/SLC5A5/SLC7A9/FGF21/SLC30A3/SLC3A1/SLC1A4/SLC9A4/SLC9A2/SLC5A7/SLC4A10/SLC40A1/SLC4A3/SLC2A10/SLCO4A1/SLC5A1/SLC6A11/SLC6A20/SLC26A6/SLC38A3/SLC9A9/SLC2A2/APOD/SLC26A1/SLC2A9/SLC34A2/SLC4A4/SLC10A6/SLC7A11/SLC9A3/SLC12A7/SLC6A19/SLC6A18/SLC6A3/SLC1A3/SLCO4C1/SLC12A2/SLC27A6/SLC6A7/SLC36A2/SLC34A1/SLC17A1/SLC44A4/SLC17A5/SLC35A1/SLC26A3/SLC13A1/AHCYL2/SLC18A1/SLC39A14/SLC20A2/SLC1A1/SLC24A2/SLC35D2/LCN15/LCN12/HEPH/SLC6A14	100
R-HSA-9748784	Drug ADME	54/2443	107/11180	0.504672897196262	2.30955505143439	7.19722438504853	6.01299836078686e-11	7.6625084283488e-09	6.81880211510419e-09	VAV3/GSTM1/AKR1C1/CYP2C19/CYP2C9/ABCC2/CYP2E1/GLYATL2/GLYATL1/SLC29A2/SLCO2B1/SLCO1A2/SERPINA6/SLC28A2/ABCC1/SULT1A4/SULT1A3/CES1/CES2/HSD11B2/ABCC3/SULT2A1/SULT1C4/UGT1A4/UGT1A7/UGT1A1/UGT1A9/UGT1A6/UGT1A10/UGT1A8/ADA/PCK1/GGT1/ACY1/BCHE/ABCC5/UGT2B17/UGT2B15/UGT2B10/UGT2A3/UGT2B7/UGT2B11/UGT2B4/UGT2A2/UGT2A1/ALB/ABCG2/UGT3A1/UGT3A2/ABCB1/PON1/CYP3A4/NAT1/NAT2	54
